error_message,input_borough,input_hnum,input_street,uid
"THIS STREET HAS NO ADDRESSES ADDRESS FOUND IN TPAD, NOT FOUND IN PAD",Staten Island,25,TORRICE LOOP,520290890
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,17,OSPREY COURT,520363099
'BISTEST ST' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. 'BISTEST ST' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.,Manhattan,1,BISTEST ST,166001302
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,128-63,FORTUNE WAY,410217000
'BISTEST STREET' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. 'BISTEST STREET' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.,Manhattan,1,BISTEST STREET,150000021
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,15,NELLO COURT,520367237
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Staten Island,35,DOUGLAS COURT,520368815
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,80,CUPIDITY DRIVE,520267700
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Queens,62-22,HILLMEYER ROAD,421573620
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,112,CUPIDITY DRIVE,520266373
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, PAD PSEUDO-ADDRESS ON DIFFERENT BBL THAN TPAD NB BIN",Queens,18-20,BAY LANE,421542860
'LEIF ERIKSON DRIVE' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. 'LEIF ERIKSON DRIVE' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.,Brooklyn,3549,LEIF ERIKSON DRIVE,301338595
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,365,FOURBERIE LANE,520266827
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,363,FOURBERIE LANE,520266836
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,266,AVIDITA PLACE,520267826
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,388,FOURBERIE LANE,520267452
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,211,AVIDITA PLACE,520267103
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,215,AVIDITA PLACE,520267112
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,217,AVIDITA PLACE,520267121
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, PAD PSEUDO-ADDRESS ON DIFFERENT BBL THAN TPAD NB BIN",Queens,18-53,BAY LANE,421543084
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, PAD PSEUDO-ADDRESS ON DIFFERENT BBL THAN TPAD NB BIN",Queens,18-24,BAY LANE,421542833
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,268,AVIDITA PLACE,520267817
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,264,AVIDITA PLACE,520267835
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,135-03,STONE RIDGE LANE,401952437
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,135-34,STONE RIDGE LANE,401952491
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,133-31,SPRING HILL LANE,401952721
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,135-03,SPRING HILL LANE,401952696
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,133-35,SPRING HILL LANE,401952730
ADDRESS NUMBER OUT OF RANGE ADDR NUMBER ALTERED: HYPHEN INSERTED,Queens,304,SEASIDE AVENUE,401301435
ADDRESS NUMBER OUT OF RANGE ADDR NUMBER ALTERED: HYPHEN INSERTED,Queens,328,SEASIDE AVENUE,401301453
'WEST 18 SSTREET' NOT RECOGNIZED. IS IT 'WEST   18 STREET'? 'WEST 18 SSTREET' NOT RECOGNIZED. IS IT 'WEST   18 STREET'?,Manhattan,211,WEST 18 SSTREET,102630850
'GAY' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES. 'GAY' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.,Manhattan,12,GAY,110299775
'RIVINGTON' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'RIVINGTON' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Manhattan,157,RIVINGTON,120705004
'ST. ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST. ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Bronx,650,ST. ANN''S AVENUE,220491251
'ST JOHN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST JOHN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Brooklyn,639,ST JOHN''S PLACE,320625640
ADDRESS NUMBER OUT OF RANGE ADDR NUMBER ALTERED: HYPHEN INSERTED,Queens,6615,SURF AVENUE,410231869
'ST. MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST. MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Brooklyn,1725,ST. MARK''S AVENUE,320139462
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Staten Island,266,HOOKER PLACE,500808860
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Brooklyn,1435,GRANT AVENUE,301636148
"ADDRESS NUMBER OUT OF RANGE ADDRESS FOUND IN TPAD, NOT FOUND IN PAD",Staten Island,506,MELBA STREET,520366700
"ADDRESS NUMBER OUT OF RANGE TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,2800 X,VICTORY BLVD,520136139
'TEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES 'TEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES,Manhattan,1,TEST STREET,127000305
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Brooklyn,3125 GARAGE,72 STREET,321444326
DUPLICATE ADDRESS-USE HILLSIDE AVENUE ROCKAWAYS OR HILLSIDE AVENUE DOUGLASTON LOT HAS MORE ITEMS THAN LISTED. INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,312,HILLSIDE AVENUE,421692350
'TEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES 'TEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES,Manhattan,1,TEST STREET,145147141
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,151-49,JUNIPER DRIVE,421641094
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,39,MCGEE LANE,520099429
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,27,MCGEE LANE,520099367
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Bronx,6100,MOSHOLU AVENUE,200632119
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,195,INGRAM STREET,421524693
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,151-49,JUNIPER DRIVE,421626663
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,25,MCGEE LANE,520099358
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,35,MCGEE LANE,520099401
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Bronx,3215,TIEMANN AVENUE,201051477
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Staten Island,500,BLOOMFIELD AVENUE,520279038
"ADDRESS NUMBER OUT OF RANGE TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,14,LEASON PLACE,520304509
