job_number,job_type,job_description,occ_init,occ_prop,occ_category,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_complete,units_incomplete,co_earliest_effectivedate,co_latest_effectivedate,co_latest_certtype,co_latest_units,status,status_date,status_a,status_d,status_p,status_q,status_r,status_x,address_house,address_street,address,bin,bbl,boro,geo_address_house,geo_address_street,geo_address,geo_bin,geo_bbl,geo_boro,geo_cd,geo_ntacode2010,geo_censusblock2010,geo_csd,geo_council,x_dcpedited,x_mixeduse,x_inactive,x_geomsource,x_reason,latitude,longitude,geom
310005776,Alteration,ENLARGE BUILDING AT REAR. ADD NEW THIRD FLOOR. CONVERT EXISTING BUILDING TO A SYNAGOGUE & DWELLING FOR RABBI. (U.G. 4),Residential,Assembly: Other,Residential,,3,,,,1,,,,,,,,Permit issued,01/25/2017 12:00:00 AM,08/09/2007,08/31/2007,10/12/2010,2011-05-13,05/13/2011,,1912,NEW YORK AVENUE,1912 NEW YORK AVENUE,3208037,3076140065,Brooklyn,1912,NEW YORK AVENUE,1912 NEW YORK AVENUE,3208037,3076140065,3,318,BK58,742,22,45,,,false,Lat/Long geosupport,,40.625863,-73.944079,0101000020E6100000C97553CA6B7C52C063635E471C504440
310141030,Alteration,APPLICATION FILED TO SECURE NEW CERTIFICATE OF OCCUPANCY TO REFLECT NEW USE.,Assembly: Other,Assembly: Other,Other,1,1,3590,3590,,,,,,2011-04-19,2011-04-19,C- CO,0,Complete,04/19/2011 12:00:00 AM,05/20/2008,05/20/2008,08/18/2008,2008-08-29,08/29/2008,04/19/2011,2431,LINDEN BLVD,2431 LINDEN BLVD,3098686,3044790028,Brooklyn,2431,LINDEN BOULEVARD,2431 LINDEN BOULEVARD,3098686,3044790028,3,305,BK82,1116,19,42,,,false,Lat/Long geosupport,,40.666117,-73.873946,0101000020E6100000151E34BBEE7752C0A227655243554440
310194919,Alteration,TO REMOVE AND CAP KITCHEN SINK AND GAS RANGE REMOVE KITCHEN CABINETS ADD PLUMBING FIXTURES TO EXISTING BATHROOM AND CONVERT BUILDING FROM 3 TO 2 FAMILIES. ALL AS PER PLANS FILED HEREWITH.,Residential,Assembly: Other,Residential,3,3,2764,2764,3,2,-1,-1,0,2013-10-08,2013-10-08,C- CO,2,Complete,10/08/2013 12:00:00 AM,08/28/2008,08/28/2008,09/05/2008,2008-09-10,09/16/2008,10/08/2013,467,WARREN STREET,467 WARREN STREET,3006235,3003930050,Brooklyn,467,WARREN STREET,467 WARREN STREET,3006235,3003930050,3,302,BK38,71,15,33,,,false,Lat/Long geosupport,,40.683461,-73.985607,0101000020E61000005BED612F147F52C0B58B69A67B574440
310227073,Alteration,CONVERT EXISTING USES TO A HOUSE OF WORSHIP.  NO CHANGE TO BULK.,Commercial,Assembly: Other,Other,2,2,8054,8054,,,,,,2013-12-05,2015-08-11,C- CO,0,Complete,08/11/2015 12:00:00 AM,11/28/2008,11/28/2008,02/24/2009,2009-12-10,12/10/2009,08/11/2015,8645,18 AVENUE,8645 18 AVENUE,3166597,3063690026,Brooklyn,8645,18 AVENUE,8645 18 AVENUE,3166597,3063690026,3,311,BK28,278,20,47,,,false,Lat/Long geosupport,,40.606150,-74.003393,0101000020E610000043024697378052C0363CBD52964D4440
310237124,Alteration,"INTERIOR PARTITIONS, AND PLUMBING. CHANGE IN USE SECOND FLOOR.",Commercial,Assembly: Other,Other,2,2,7445,7445,,,,,,2010-05-17,2010-10-18,C- CO,0,Complete,10/18/2010 12:00:00 AM,12/16/2008,12/16/2008,03/03/2009,2009-04-01,06/17/2009,10/18/2010,8140,NEW UTRECHT AVENUE,8140 NEW UTRECHT AVENUE,3164612,3063140012,Brooklyn,8140,NEW UTRECHT AVENUE,8140 NEW UTRECHT AVENUE,3164612,3063140012,3,311,BK28,276,20,43,,,false,Lat/Long geosupport,,40.610138,-74.001848,0101000020E610000008E412471E8052C0FF058200194E4440
320152213,Alteration,EXTEND & CONVERT EXISTING BUILDING TO BE USED AS A SYNAGOGUE (UG4),Residential: Multi-Family,Assembly: Other,Residential,2,3,3464,5696,4,,,,,,,,,Permit issued,12/20/2017 12:00:00 AM,05/04/2010,05/06/2010,06/22/2011,2011-09-27,11/16/2011,,5002,19 AVENUE,5002 19 AVENUE,3327498,3054610039,Brooklyn,5002,19 AVENUE,5002 19 AVENUE,3327498,3054610039,3,312,BK88,474,20,44,,,false,Lat/Long geosupport,,40.626399,-73.979570,0101000020E610000022895E46B17E52C0A19FA9D72D504440
320198255,Alteration,FILING TO CONVERT EXISTING CHURCH SPACE INTO SCHOOL FOR GRADE ONE TO GRADE FIVE AND AMEND EXISTING CERTIFICATE OF OCCUPANCY. ALSO MINOR REPAIRS TO CEILLING. APPLICATION IS FILED IN CONJUNCTION WITH JO NO.320174422,Assembly: Other,Educational,Other,1,1,19000,19000,,,,,,2014-06-09,2014-06-09,C- CO,0,Complete,06/09/2014 12:00:00 AM,08/02/2010,08/03/2010,08/27/2010,2010-08-27,08/27/2010,06/09/2014,1400,LINDEN BLVD,1400 LINDEN BLVD,3083069,3036420022,Brooklyn,1384,LINDEN BOULEVARD,1384 LINDEN BOULEVARD,3083069,3036420022,3,316,BK81,922,18,42,,,false,Lat/Long geosupport,,40.654098,-73.908156,0101000020E6100000A3EA573A1F7A52C08330B77BB9534440
320267313,Demolition,"DEMOLITION OF EXISTING 6,226 SF ONE STORY MASONRY BUILDING BY MECHANICAL MEANS.",Assembly: Other,Empty Lot,Other,1,0,,0,,0,,,,,,,,Complete (demolition),07/29/2011 12:00:00 AM,01/31/2011,02/16/2011,02/16/2011,2011-06-16,06/20/2011,07/29/2011,4112,AVENUE U,4112 AVENUE U,3418341,3085580044,Brooklyn,4112,AVENUE U,4112 AVENUE U,3242315,3085580044,3,318,BK45,662,22,46,,,false,Lat/Long geosupport,,40.608597,-73.923255,0101000020E610000095B7239C167B52C0CCB8A981E64D4440
320298888,Alteration,FILING TO AMEND C OF O TO INCLUDE ROOFTOP ADDITION OF AN OPEN AIR PAVILION TO THE BROOKLYN CHILDREN'S MUSEUM. AS WELL AS INTERIOR RENOVATION TO THE GROUND FLOOR COMMONS THEATER AND RESTROOM.,Assembly: Other,Assembly: Other,Other,2,2,99820,99820,,,,,,,,,,Permit issued,07/03/2018 12:00:00 AM,04/21/2011,04/21/2011,04/02/2012,2013-04-24,05/01/2013,,145,BROOKLYN AVE.,145 BROOKLYN AVE.,3031049,3012290001,Brooklyn,145,BROOKLYN AVENUE,145 BROOKLYN AVENUE,3031049,3012290001,3,308,BK61,341,17,36,,,false,Lat/Long geosupport,,40.674426,-73.943923,0101000020E61000004DBC033C697C52C03AC9569753564440
320348879,Alteration,RENOVATION OF AN EXISTING BUILDING TO CONVERT TO A COMMUNITY FACILITY FOOD PANTRY THAT IS ACCESSORY TO EXISTING RESIDENTIAL COMPLEX.,Commercial,Assembly: Other,Other,2,2,5080,5080,,,,,,2014-02-13,2014-07-24,C- CO,0,Complete,07/24/2014 12:00:00 AM,08/15/2011,08/15/2011,11/01/2011,2012-05-17,07/09/2012,07/24/2014,376,THROOP AVENUE,376 THROOP AVENUE,3049834,3017860038,Brooklyn,376,THROOP AVENUE,376 THROOP AVENUE,3049834,3017860038,3,303,BK75,261,16,36,,true,false,Lat/Long geosupport,,40.691323,-73.942896,0101000020E6100000DFE17668587C52C07EFCA5457D584440
