job_number,job_type,job_description,occ_init,occ_prop,occ_category,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_complete,units_incomplete,co_earliest_effectivedate,co_latest_effectivedate,co_latest_certtype,co_latest_units,status,status_date,status_a,status_d,status_p,status_q,status_r,status_x,address_house,address_street,address,bin,bbl,boro,geo_address_house,geo_address_street,geo_address,geo_bin,geo_bbl,geo_boro,geo_cd,geo_ntacode2010,geo_censusblock2010,geo_csd,geo_council,x_dcpedited,x_mixeduse,x_inactive,x_geomsource,x_reason,latitude,longitude,geom,row_number
121193234,New Building,FILING HEREWITH FOR CONSTRUCTION OF NEW BUILDING AND INSTALLATION OF TEMPORARY FENCE AS PER PLANS.,Empty Lot,Residential: Multi-Family,Residential,0,25,0,260508,0,112,112,0,,,,,,Permit issued,02/23/2018 12:00:00 AM,05/19/2015,06/03/2015,06/20/2016,2016-03-14,07/14/2016,,100,VARICK STREET,100 VARICK STREET,1089738,1004770035,Manhattan,96,VARICK STREET,96 VARICK STREET,1089738,1004770035,1,102,MN24,37,02,03,,,false,Lat/Long geosupport,,40.723988,-74.005816,0101000020E6100000C972124A5F8052C0255987A3AB5C4440,1
120084719,New Building,PROPOSE TO CONSTRUCT NEW HOTEL AND INSTALL CONSTRUCTION FENCE AS SHOWN ON DRAWINGS FILED HEREWITH,Empty Lot,Hotel or Dormitory,Other,0,20,0,99900,0,1,1,0,,,,,,Permit issued,01/06/2015 12:00:00 AM,06/24/2009,06/26/2009,05/24/2010,2012-04-25,,,100,VARICK STREET,100 VARICK STREET,1089738,1004770035,Manhattan,96,VARICK STREET,96 VARICK STREET,1089738,1004770035,1,102,MN24,37,02,03,,,false,Lat/Long geosupport,,40.723988,-74.005816,0101000020E6100000C972124A5F8052C0255987A3AB5C4440,2
421557489,Alteration,"FILING FOR ALT 1 IN OTHER TO SUPERSEDE EXIST'G APPLICATION MADE TO CONVERT FROM 1 TO 2 FAMILY HOUSE WITH NEW 3 PIECE BATHROOM IN BASEMENT NEW GAS METER AND PIPING, NEW BATHROOM ON SECOND FLOOR WITH NEW KITCHEN SINK,. ALL WORK ALREADY DONE UNDER APPLICATION#420511226.",Residential,Residential: 1 & 2 Family,Residential,2,2,1394,1394,1,2,1,0,,,,,,In progress,04/13/2018 12:00:00 AM,09/22/2017,09/22/2017,04/13/2018,,,,107-07,GUY R BREWER BLVD,107-07 GUY R BREWER BLVD,4216437,4101660027,Queens,107-07,GUY R BREWER BOULEVARD,107-07 GUY R BREWER BOULEVARD,4216437,4101660027,4,412,QN01,254,28,27,,,false,Lat/Long geosupport,,40.698019,-73.791964,0101000020E6100000FFE6C589AF7252C04A7EC4AF58594440,1
420511226,Alteration,PROPOSED FROM A ONE FAMILY DWELLING TO A TWO FAMILY DWELLING,Residential: 1 & 2 Family,Residential: 1 & 2 Family,Residential,2,2,1312,1312,1,2,1,0,,,,,,Permit issued,12/16/2011 12:00:00 AM,12/06/2011,12/06/2011,12/12/2011,2011-12-16,12/16/2011,,107-07,GUY R BREWER BLVD,107-07 GUY R BREWER BLVD,4216437,4101660027,Queens,107-07,GUY R BREWER BOULEVARD,107-07 GUY R BREWER BOULEVARD,4216437,4101660027,4,412,QN01,254,28,27,,,false,Lat/Long geosupport,,40.698019,-73.791964,0101000020E6100000FFE6C589AF7252C04A7EC4AF58594440,2
421699344,New Building,FILING FOR A PROPOSED 2 FMILY SEMI-DETACHED HOUSE + CELLAR.,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,1732,0,2,2,0,,,,,,In progress (last plan disapproved),11/28/2018 12:00:00 AM,11/21/2018,11/21/2018,,,,,108-47,171 STREET,108-47 171 STREET,4618598,4102540035,Queens,,171 STREET,,,,,412,QN01,414,29,27,,,false,Lat/Long DCP,,40.6977005,-73.7842026,0101000020E61000000B1C1A60307252C091F3FE3F4E594440,1
421395001,New Building,NEWLY CONSTRUCTED 2 FAMILY HOME SEMI-DETACHED AS PER PLANS FILED HEREWITH.,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,14400,0,2,2,0,,,,,,In progress (last plan disapproved),02/27/2018 12:00:00 AM,11/03/2016,11/03/2016,,,,,108-47,171 STREET,108-47 171 STREET,4618598,4102540035,Queens,,171 STREET,,,,,412,QN01,414,29,27,,,false,Lat/Long DCP,,40.6977005,-73.7842026,0101000020E61000000B1C1A60307252C091F3FE3F4E594440,2
420817156,New Building,FILING NEW BUILDING IN ORDER TO RE-CONSTRUCT PRIOR EXISTING CONDITIONS AS PER CO#410233929 SIGNED OFF 4/03/2012. HOUSE WAS BURNED DURING THE HURRICANE SANDY.,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,1600,0,1,1,1,0,2016-12-05,2016-12-05,C- CO,1,Complete,12/05/2016 12:00:00 AM,03/04/2013,03/04/2013,05/21/2013,2013-06-11,08/02/2013,12/05/2016,10,GOTHAM WALK,10 GOTHAM WALK,4465988,4163500400,Queens,,GOTHAM WALK,,4000000,4163500400,4,414,QN10,91601,27,32,,,false,Lat/Long geosupport,,40.556881,-73.920731,0101000020E6100000755AB741ED7A52C0C36169E047474440,1
410233929,New Building,NEW BUILDING.,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,1425,0,1,1,1,0,2012-04-03,2012-04-03,C- CO,1,Complete,04/03/2012 12:00:00 AM,03/10/2009,03/11/2009,12/14/2009,2010-02-25,05/11/2010,04/03/2012,10,GOTHAM WALK,10 GOTHAM WALK,4465988,4163500400,Queens,,GOTHAM WALK,,4000000,4163500400,4,414,QN10,91601,27,32,,,false,Lat/Long geosupport,,40.556881,-73.920731,0101000020E6100000755AB741ED7A52C0C36169E047474440,2
410064068,New Building,NEW BUILDING,Empty Lot,Residential: 1 & 2 Family,Residential,0,1,0,3000,0,2,2,0,,,,,,Permit issued,02/12/2015 12:00:00 AM,02/22/2008,02/22/2008,08/08/2008,2012-12-18,,,110-34,67 DRIVE,110-34 67 DRIVE,4052174,4021920022,Queens,110-34,67 DRIVE,110-34 67 DRIVE,4052174,4021920022,4,406,QN17,747,28,29,,,false,Lat/Long geosupport,,40.728460,-73.843272,0101000020E61000007B681F2BF87552C0DA38622D3E5D4440,1
421613891,New Building,NEW ONE FAMILY DWELLING UNIT. OBTAIN NEW C OF O.,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,3493,0,1,1,0,,,,,,In progress,06/01/2018 12:00:00 AM,03/28/2018,04/06/2018,06/01/2018,,,,110-34,67 DRIVE,110-34 67 DRIVE,4052174,4021920022,Queens,110-34,67 DRIVE,110-34 67 DRIVE,4052174,4021920022,4,406,QN17,747,28,29,,,false,Lat/Long geosupport,,40.728460,-73.843272,0101000020E61000007B681F2BF87552C0DA38622D3E5D4440,2
321738571,New Building,PROPOSED NEW TWELVE (12) RESIDENTIAL BUILDING.,Empty Lot,Residential: Multi-Family,Residential,0,12,0,24239,0,23,23,0,,,,,,In progress (last plan disapproved),04/25/2018 12:00:00 AM,04/05/2018,04/05/2018,,,,,112,FLEET PLACE,112 FLEET PLACE,3058262,3020620023,Brooklyn,112,FLEET PLACE,112 FLEET PLACE,3058262,3020620023,3,302,BK38,15,13,35,,,false,Lat/Long geosupport,,40.692250,-73.981919,0101000020E61000008C14CAC2D77E52C0F853E3A59B584440,1
321183312,New Building,HEREBY FILING NEW ELEVEN (11) STORY RESIDENTIAL BUILDING AS SHOWN ON DRAWINGS FILED HEREWITH.,Empty Lot,Residential: Multi-Family,Residential,0,11,0,24111,0,20,20,0,,,,,,In progress,06/16/2016 12:00:00 AM,05/26/2016,06/01/2016,,,,,112,FLEET PLACE,112 FLEET PLACE,3058262,3020620023,Brooklyn,112,FLEET PLACE,112 FLEET PLACE,3058262,3020620023,3,302,BK38,15,13,35,,,false,Lat/Long geosupport,,40.692250,-73.981919,0101000020E61000008C14CAC2D77E52C0F853E3A59B584440,2
210115873,Alteration,CONVERT NON-CONFORMING USE TO CONFORMING RESIDENTIAL USE AT FIRST FLOOR WITH A CCESSORY RESIDENTIAL USE AT CELLAR.,Residential: Multi-Family,Residential: Multi-Family,Residential,5,5,88348,88348,75,95,20,20,0,2010-11-05,2011-08-11,C- CO,95,Complete,08/11/2011 12:00:00 AM,03/20/2009,04/03/2009,07/01/2009,2009-07-10,07/16/2009,08/11/2011,112,LINCOLN AVENUE,112 LINCOLN AVENUE,2093995,2023090001,Bronx,112,LINCOLN AVENUE,112 LINCOLN AVENUE,2093995,2023090001,2,201,BX39,19,07,08,,,false,Lat/Long geosupport,,40.807868,-73.928935,0101000020E61000000647C9AB737B52C012BEF73768674440,1
220425804,Alteration,RENOVATION & CONVERSION OF WAREHOUSE TO APARTMENT AT 1ST FLOOR,Residential: Multi-Family,Residential: Multi-Family,Residential,5,5,86509,102020,95,96,1,0,,,,,,In progress,04/11/2016 12:00:00 AM,02/06/2015,02/06/2015,04/11/2016,,,,112,LINCOLN AVENUE,112 LINCOLN AVENUE,2093995,2023090001,Bronx,112,LINCOLN AVENUE,112 LINCOLN AVENUE,2093995,2023090001,2,201,BX39,19,07,08,,,false,Lat/Long geosupport,,40.807868,-73.928935,0101000020E61000000647C9AB737B52C012BEF73768674440,2
320599688,New Building,"NEW FOUR (4) STORY, FOUR (4) FAMILY BUILDING WITH CELLAR, FIRST, SECOND, THIRD, AND FOURTH",Empty Lot,Residential: Multi-Family,Residential,0,4,0,10908,0,4,4,0,,,,,,In progress (last plan disapproved),01/04/2019 12:00:00 AM,10/24/2018,10/24/2018,,,,,1146,47 STREET,1146 47 STREET,3137183,3056270049,Brooklyn,1146,47 STREET,1146 47 STREET,3137183,3056270049,3,312,BK88,222,20,44,,,false,Lat/Long geosupport,,40.637781,-73.994127,0101000020E61000008544DAC69F7F52C04D81CCCEA2514440,1
321827564,New Building,"NEW FOUR (4) STORY, FOUR (4) FAMILY BUILDING WITH CELLAR, FIRST, SECOND, THIRD, AND FOURTH",Empty Lot,Residential: Multi-Family,Residential,0,4,0,10908,0,4,4,0,,,,,,In progress (last plan disapproved),08/29/2018 12:00:00 AM,08/17/2018,08/17/2018,,,,,1146,47 STREET,1146 47 STREET,3137183,3056270049,Brooklyn,1146,47 STREET,1146 47 STREET,3137183,3056270049,3,312,BK88,222,20,44,,,false,Lat/Long geosupport,,40.637781,-73.994127,0101000020E61000008544DAC69F7F52C04D81CCCEA2514440,2
421647659,New Building,PROPOSED NEW 7-STORY 23-DWELLING UNITS MIX USE BUILDING,Empty Lot,Residential: Multi-Family,Residential,0,7,0,15341,0,23,23,0,,,,,,In progress (last plan disapproved),07/06/2018 12:00:00 AM,06/28/2018,06/28/2018,,,,,11-52,44 DRIVE,11-52 44 DRIVE,4000451,4000520045,Queens,11-52,44 DRIVE,11-52 44 DRIVE,4000451,4000520045,4,402,QN31,7,30,26,,true,false,Lat/Long geosupport,,40.747914,-73.947831,0101000020E6100000A3C85A43A97C52C03B1C5DA5BB5F4440,1
420659763,New Building,ERECT 8 STORY MIXED USE NEW BUILDING WITH GROUND FLOOR RETAIL USE.,Empty Lot,Residential: Multi-Family,Residential,0,8,0,15888,0,22,22,0,,,,,,In progress (last plan disapproved),10/13/2017 12:00:00 AM,06/15/2017,09/23/2017,,,,,11-52,44 DRIVE,11-52 44 DRIVE,4000451,4000520045,Queens,11-52,44 DRIVE,11-52 44 DRIVE,4000451,4000520045,4,402,QN31,7,30,26,,true,false,Lat/Long geosupport,,40.747914,-73.947831,0101000020E6100000A3C85A43A97C52C03B1C5DA5BB5F4440,2
520298810,New Building,PROPOSED ACCESSORY ONE STORY CABANA,Empty Lot,Residential: 1 & 2 Family,Residential,0,1,0,6652,0,1,1,0,,,,,,In progress,04/26/2017 12:00:00 AM,08/23/2016,08/23/2016,04/26/2017,,,,115,MERRICK AVENUE,115 MERRICK AVENUE,5164997,5008640484,Staten Island,115,MERRICK AVENUE,115 MERRICK AVENUE,5000000,5008640484,5,502,SI24,177,31,50,,,false,Lat/Long geosupport,,40.601841,-74.109381,0101000020E610000071732A19008752C02B323A20094D4440,1
520264785,New Building,CONSTRUCT A THREE STORY ONE FAMILY RESIDENCE. ON/ OFF SITE FILL REQUIRED.,Empty Lot,Residential: 1 & 2 Family,Residential,0,3,0,6652,0,1,1,0,,,,,,In progress,05/20/2016 12:00:00 AM,02/24/2016,02/29/2016,05/20/2016,,,,115,MERRICK AVENUE,115 MERRICK AVENUE,5164997,5008640484,Staten Island,115,MERRICK AVENUE,115 MERRICK AVENUE,5000000,5008640484,5,502,SI24,177,31,50,,,false,Lat/Long geosupport,,40.601841,-74.109381,0101000020E610000071732A19008752C02B323A20094D4440,2
421526520,Alteration,TO CONVERT EXISTING 1 FAMILY DWELLING TO 2 FAMILY DWELLING. INTERIOR RENOVATION . NEW CERTIFICATE OF OCCUPANCY.,Residential: 1 & 2 Family,Residential: 1 & 2 Family,Residential,2,2,1644,1644,1,2,1,0,,,,,,Permit issued,10/16/2017 12:00:00 AM,07/11/2017,07/19/2017,10/04/2017,2017-10-16,10/16/2017,,116-39,198 STREET,116-39 198 STREET,4238433,4110700112,Queens,116-39,198 STREET,116-39 198 STREET,4238433,4110700112,4,412,QN08,530,29,27,,,false,Lat/Long geosupport,,40.694453,-73.753927,0101000020E610000092240857407052C0F7CDFDD5E3584440,1
421426157,Alteration,ONE (1) TO TWO (2) FAMILY CONVERSION.,Residential: 1 & 2 Family,Residential: 1 & 2 Family,Residential,2,2,1395,1395,1,2,1,0,,,,,,In progress (last plan disapproved),04/03/2017 12:00:00 AM,03/30/2017,03/30/2017,,,,,116-39,198 STREET,116-39 198 STREET,4238433,4110700112,Queens,116-39,198 STREET,116-39 198 STREET,4238433,4110700112,4,412,QN08,530,29,27,,,false,Lat/Long geosupport,,40.694453,-73.753927,0101000020E610000092240857407052C0F7CDFDD5E3584440,2
110033080,Alteration,"PROPOSED MINOR HORIZONTAL ENLARGEMENT AND CONVERSION OF EXISTING COMMERCIAL BUILDINGINTO A TRANSIENT HOTEL, ALL AS PER PLANS FILED HEREWITH.",Commercial,Hotel or Dormitory,Other,12,12,112608,112608,0,168,168,168,0,2012-03-02,2015-04-22,C- CO,168,Complete,04/22/2015 12:00:00 AM,12/27/2007,12/27/2007,07/24/2008,2008-07-28,09/10/2008,04/22/2015,1170,BROADWAY,1170 BROADWAY,1080710,1008290050,Manhattan,1166,BROADWAY,1166 BROADWAY,1080710,1008290050,1,105,MN13,58,02,02,,,false,Lat/Long geosupport,,40.744903,-73.988488,0101000020E6100000431F2C63437F52C09DD843FB585F4440,1
121203688,Alteration,APPLICATION FILED FOR 30 STORY NB (ON LOT 1),Hotel or Dormitory,Hotel or Dormitory,Other,13,13,111338,129639,167,205,38,0,,,,,,In progress (last plan disapproved),09/29/2017 12:00:00 AM,04/26/2017,04/29/2017,,,,,1170,BROADWAY,1170 BROADWAY,1080710,1008290050,Manhattan,1166,BROADWAY,1166 BROADWAY,1080710,1008290050,1,105,MN13,58,02,02,,,false,Lat/Long geosupport,,40.744903,-73.988488,0101000020E6100000431F2C63437F52C09DD843FB585F4440,2
421598060,New Building,NB TWO FAMILY DWELLING.,Empty Lot,Residential: 1 & 2 Family,Residential,0,3,0,2083,0,2,2,0,,,,,,Permit issued,09/26/2018 12:00:00 AM,01/30/2018,01/30/2018,08/15/2018,2018-08-28,09/26/2018,,120-32,LUCAS STREET,120-32 LUCAS STREET,4615034,4126650144,Queens,120-32,LUCAS STREET,120-32 LUCAS STREET,4000000,4126650144,4,412,QN08,394,29,27,,,false,Lat/Long geosupport,,40.686565,-73.758016,0101000020E610000010768A55837052C004CAA65CE1574440,1
421407917,New Building,PROPOSE TWO STORY TWO FAMILY DWELLING.,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,1947,0,2,2,0,,,,,,In progress (last plan disapproved),03/29/2017 12:00:00 AM,03/03/2017,03/03/2017,,,,,120-32,LUCAS STREET,120-32 LUCAS STREET,4615034,4126650144,Queens,120-32,LUCAS STREET,120-32 LUCAS STREET,4000000,4126650144,4,412,QN08,394,29,27,,,false,Lat/Long geosupport,,40.686565,-73.758016,0101000020E610000010768A55837052C004CAA65CE1574440,2
421333612,Alteration,"PROPOSE TO CONVERT EXISTING FIRST FLOOR FROM MANUFACTIING TO OFFICES AND CONVERT ONE FAMILY TO TWO FAMILY DWELLING ON THE SECOND FLOOR, EXISTING CO#131112.",Commercial,Retail,Other,2,2,2164,2164,1,2,1,0,,,,,,Permit issued,02/24/2017 12:00:00 AM,07/13/2016,07/13/2016,07/29/2016,2016-07-29,07/29/2016,,12-14,ASTORIA BLVD,12-14 ASTORIA BLVD,4005621,4005120015,Queens,12-14,ASTORIA BOULEVARD,12-14 ASTORIA BOULEVARD,4005621,4005120015,4,401,QN71,83,30,22,,,false,Lat/Long geosupport,,40.771921,-73.929540,0101000020E6100000BA1457957D7B52C03D0CAD4ECE624440,1
421309382,Alteration,"PROPOSE TO CONVERT TO EXISTING FIRST FLOOR FROM MANUFACTIING TO OFFICES ON FIRST FLOOR AND CONVERT ONE FAMILY TO TWO FAMILY TWO FAMILY DWELLING ON THE SECOND FLOOR, EXISTING CO#",Commercial,Retail,Other,2,2,2000,2000,1,2,1,0,,,,,,Filed,04/05/2016 12:00:00 AM,04/05/2016,,,,,,12-14,ASTORIA BLVD,12-14 ASTORIA BLVD,4005621,4005120015,Queens,12-14,ASTORIA BOULEVARD,12-14 ASTORIA BOULEVARD,4005621,4005120015,4,401,QN71,83,30,22,,,false,Lat/Long geosupport,,40.771921,-73.929540,0101000020E6100000BA1457957D7B52C03D0CAD4ECE624440,2
421525200,Alteration,"LEGALIZING CONVERSION FROM A 1 FAMILY TO 2 FAMILY HOUSE. LEGALIZING 2ND FLOOR KITCHEN, AND BATHROOM IN CELLAR. EXISTING CONVERSION EXISTED PRIOR 2005. WORK ALSO INCLUDES METAL DECK AT REAR.",Residential,Residential: 1 & 2 Family,Residential,2,2,1573,1573,1,2,1,0,,,,,,Permit issued,12/12/2017 12:00:00 AM,07/07/2017,07/07/2017,12/04/2017,2017-12-12,,,122-06,109 AVENUE,122-06 109 AVENUE,4249587,4116030004,Queens,122-06,109 AVENUE,122-06 109 AVENUE,4249587,4116030004,4,410,QN55,168,27,28,,,false,Lat/Long geosupport,,40.682867,-73.819125,0101000020E61000008195438B6C7452C04242942F68574440,1
421380605,Alteration,"LEGALIZING CONVERSION FROM A 1 FAMILY TO 2 FAMILY DWEELLING. LEGALIZING 2ND FLOOR KITCHEN, AND BATHROOM IN CELLAR. EXISTING CONVERSION EXISTED PRIOR 2005. NO WORK FILED UNDER THIS APPLICATION.",Residential,Residential: 1 & 2 Family,Residential,2,2,1573,1573,1,2,1,0,,,,,,Filed,01/24/2017 12:00:00 AM,01/24/2017,,,,,,122-06,109 AVENUE,122-06 109 AVENUE,4249587,4116030004,Queens,122-06,109 AVENUE,122-06 109 AVENUE,4249587,4116030004,4,410,QN55,168,27,28,,,false,Lat/Long geosupport,,40.682867,-73.819125,0101000020E61000008195438B6C7452C04242942F68574440,2
